timestamp,user,role,action,entity,details,severity,ipAddress,location,device
"2026-02-10T07:36:42.854Z","Rahul Sharma","Owner","LOGOUT","USER","User logged out","info","192.168.176.13","Delhi, India","Safari 17 on iOS 17"
"2026-02-10T05:03:45.951Z","Rahul Sharma","Owner","PAYMENT_RECEIVED","PAYMENT","Payment of ₹5,000 received for Premium membership","info","192.168.137.144","Bangalore, India","Firefox 121 on Android 14"
"2026-02-10T04:30:05.930Z","Rahul Sharma","Owner","MEMBERSHIP_ACTIVATED","MEMBERSHIP","Premium membership activated for 12 months","info","192.168.64.209","Pune, India","Chrome 120 on Windows 11"
"2026-02-10T02:12:47.878Z","Neha Singh","Staff","MEMBER_CHECKIN","MEMBER","Member check-in at Main Entrance","info","192.168.165.37","Mumbai, India","Edge 120 on macOS 14"
"2026-02-10T01:11:37.159Z","Vikram Reddy","Manager","LOGIN","USER","User logged in successfully","info","192.168.39.138","Delhi, India","Edge 120 on macOS 14"
"2026-02-09T23:35:05.316Z","Neha Singh","Staff","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.130.120","Chennai, India","Safari 17 on iOS 17"
"2026-02-09T22:32:33.327Z","Rahul Sharma","Owner","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.104.234","Bangalore, India","Edge 120 on macOS 14"
"2026-02-09T22:28:10.391Z","Neha Singh","Staff","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.77.237","Mumbai, India","Safari 17 on iOS 17"
"2026-02-09T21:53:50.448Z","Rahul Sharma","Owner","MEMBER_CHECKIN","MEMBER","Member check-in at Main Entrance","info","192.168.238.158","Mumbai, India","Edge 120 on macOS 14"
"2026-02-09T19:37:09.220Z","Neha Singh","Staff","LOGIN_FAILED","SECURITY","Failed login attempt - invalid password","high","192.168.6.146","Mumbai, India","Firefox 121 on Android 14"
"2026-02-09T18:05:02.355Z","Priya Patel","Admin","MEMBER_CHECKIN","MEMBER","Member check-in at Main Entrance","info","192.168.119.157","Delhi, India","Firefox 121 on Android 14"
"2026-02-09T14:16:37.386Z","Priya Patel","Admin","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.157.41","Delhi, India","Edge 120 on macOS 14"
"2026-02-09T12:42:59.605Z","Rahul Sharma","Owner","SETTINGS_CHANGE","SETTINGS","Notification settings updated","low","192.168.208.191","Delhi, India","Safari 17 on iOS 17"
"2026-02-09T12:11:40.106Z","Vikram Reddy","Manager","DELETE","MEMBER","Member account deleted","medium","192.168.226.72","Delhi, India","Chrome 120 on Windows 11"
"2026-02-09T09:11:54.307Z","Neha Singh","Staff","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.134.117","Mumbai, India","Safari 17 on iOS 17"
"2026-02-09T06:56:30.454Z","Vikram Reddy","Manager","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.217.48","Chennai, India","Edge 120 on macOS 14"
"2026-02-09T06:36:10.833Z","Amit Kumar","Trainer","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.130.132","Bangalore, India","Safari 17 on iOS 17"
"2026-02-09T03:49:36.221Z","Vikram Reddy","Manager","REFUND_ISSUED","PAYMENT","Refund of ₹2,500 processed","medium","192.168.211.64","Bangalore, India","Edge 120 on macOS 14"
"2026-02-09T00:55:57.255Z","Amit Kumar","Trainer","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.153.68","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-08T21:25:03.168Z","Vikram Reddy","Manager","LOGIN_FAILED","SECURITY","Failed login attempt - invalid password","high","192.168.195.92","Bangalore, India","Edge 120 on macOS 14"
